"","ID_focal","biomass","biomass_next","growth","NB1","NB2","NB3","NB4","NB5","NB6","NB7","NB8","sp_NB1","sp_NB2","sp_NB3","sp_NB4","sp_NB5","sp_NB6","sp_NB7","sp_NB8","plot_richness","sp","plotID_1","plotID_2","year","spp","spy"
"1",2,366.1526238,1610.422806,1244.2701822,26.78207737,0.86393798,316.1227608,40.15151761,32.40631362,16.41482162,80.71411262,546.8648872,"2","2","8","2","2","2","8","8",2,"Schima superba","A","B38/C38",2,"Schima superba B38/C38","Schima superba 2"
"2",2,1610.422806,9235.897007,7625.474201,104.9684645,4.319689899,1087.077452,173.6515339,165.7335423,83.97477163,484.9048261,2250.651114,"2","2","8","2","2","2","8","8",2,"Schima superba","A","B38/C38",3,"Schima superba B38/C38","Schima superba 3"
"3",2,9235.897007,16714.28451,7478.387503,218.6843011,3.593981996,2767.436508,997.1593761,448.7293867,173.5305826,2862.957261,7384.152683,"2","2","8","2","2","2","8","8",2,"Schima superba","A","B38/C38",4,"Schima superba B38/C38","Schima superba 4"
"4",2,16714.28451,22951.29971,6237.0152,370.7719431,5.073475786,3657.484814,1242.653293,695.8075495,339.7522499,5261.454867,16288.05207,"2","2","8","2","2","2","8","8",2,"Schima superba","A","B38/C38",5,"Schima superba B38/C38","Schima superba 5"
"5",2,22951.29971,25024.55263,2073.25292,689.8150596,6.473055313,7598.724718,1887.566256,971.0122931,601.9271889,8478.362964,20199.57148,"2","2","8","2","2","2","8","8",2,"Schima superba","A","B38/C38",6,"Schima superba B38/C38","Schima superba 6"
"6",3,32.40631362,165.7335423,133.32722868,0.86393798,316.1227608,584.7006583,366.1526238,483.0135873,80.71411262,546.8648872,3.166725395,"2","8","8","8","8","8","8","8",2,"Cyclobalanopsis glauca","A","B38/C38",2,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 2"
"7",3,165.7335423,448.7293867,282.9958444,4.319689899,1087.077452,1113.301897,1610.422806,1949.436153,484.9048261,2250.651114,5.497787144,"2","8","8","8","8","8","8","8",2,"Cyclobalanopsis glauca","A","B38/C38",3,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 3"
"8",3,448.7293867,695.8075495,247.0781628,3.593981996,2767.436508,7459.300836,9235.897007,2981.291632,2862.957261,7384.152683,94.01655839,"2","8","8","8","8","8","8","8",2,"Cyclobalanopsis glauca","A","B38/C38",4,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 4"
"9",3,695.8075495,971.0122931,275.2047436,5.073475786,3657.484814,12997.75676,16714.28451,6138.827475,5261.454867,16288.05207,105.8873804,"2","8","8","8","8","8","8","8",2,"Cyclobalanopsis glauca","A","B38/C38",5,"Cyclobalanopsis glauca B38/C38","Cyclobalanopsis glauca 5"
"10",4,483.0135873,1949.436153,1466.4225657,316.1227608,584.7006583,133.0464489,32.40631362,0,546.8648872,3.166725395,107.1738626,"8","8","8","2","2","8","8","8",2,"Schima superba","A","B38/C38",2,"Schima superba B38/C38","Schima superba 2"
